order_id,customer_id,order_date,ship_amount,tax_amount,ship_date,ship_address_id,card_type,card_number,card_expires,billing_address_id
1,1,"2015-03-28 09:40:28",5.00,32.32,"2015-03-30 15:32:51",1,Visa,4111111111111111,04/2020,2
2,2,"2015-03-28 11:23:20",5.00,0.00,"2015-03-29 12:52:14",3,Visa,4012888888881881,08/2019,3
3,1,"2015-03-29 09:44:58",10.00,89.92,"2015-03-31 09:11:41",1,Visa,4111111111111111,04/2017,2
4,3,"2015-03-30 15:22:31",5.00,0.00,"2015-04-03 16:32:21",4,"American Express",378282246310005,04/2016,4
5,4,"2015-03-31 05:43:11",5.00,0.00,"2015-04-02 14:21:12",5,Visa,4111111111111111,04/2019,6
6,5,"2015-03-31 18:37:22",5.00,0.00,NULL,7,Discover,6011111111111117,04/2019,7
7,6,"2015-04-01 23:11:12",15.00,0.00,"2015-04-03 10:21:35",8,MasterCard,5555555555554444,04/2019,8
8,7,"2015-04-02 11:26:38",5.00,0.00,NULL,9,Visa,4012888888881881,04/2019,10
9,4,"2015-04-03 12:22:31",5.00,0.00,NULL,5,Visa,4111111111111111,04/2019,6
10,4,"2021-12-17 00:07:43",15.00,5.00,NULL,43,Visa,1234567891234567,12/2021,5
